Date,Open,High,Low,Close,Volume
2006-12-14,41.2058,41.2058,41.2058,41.2058,92900
2006-12-15,39.1455,43.2661,39.1455,43.2661,845440
2006-12-18,41.2058,41.2058,41.2058,41.2058,265860
2006-12-19,39.1455,39.1455,39.1455,39.1455,26940
2006-12-20,37.2226,37.2226,37.2226,37.2226,16420
2006-12-21,37.2226,37.2226,35.437,35.437,2480
2006-12-22,35.437,35.437,33.7887,33.7887,1530
2006-12-25,33.7887,33.7887,32.1405,32.1405,1420
2006-12-26,30.6296,30.6296,30.6296,30.6296,7320
2006-12-27,29.1187,29.1188,29.1187,29.1188,20170
2006-12-28,27.7453,27.7453,27.7452,27.7452,104850
2006-12-29,26.3717,26.3717,26.3717,26.3717,77860
2007-01-02,25.1355,25.1355,25.1355,25.1355,32230
2007-01-03,23.8993,23.8994,23.8993,23.8994,20700
2007-01-04,24.9982,24.9982,22.8006,24.9982,516290
2007-01-05,26.2344,26.2344,26.2344,26.2344,510280
2007-01-08,27.4706,27.4706,26.2344,27.4705,202610
2007-01-09,27.4705,28.2946,26.7837,28.2946,233690
2007-01-10,27.4705,28.2946,27.4705,27.4705,232550
2007-01-11,26.7837,26.7837,26.096999999999998,26.096999999999998,101070
2007-01-12,25.4102,25.5476,25.4102,25.5476,127110
2007-01-15,25.4102,25.8223,25.4102,25.8223,98990
2007-01-16,27.0585,27.0585,27.0585,27.0585,167700
2007-01-17,28.2947,28.2947,27.0585,27.0585,283390
2007-01-18,27.0585,27.3332,27.0585,27.0585,189370
2007-01-19,27.4706,28.02,27.4705,27.4705,97540
2007-01-22,27.4705,28.8441,27.4705,28.8441,250220
2007-01-23,30.1521,30.1524,30.1521,30.1524,93440
2007-01-24,31.5292,31.5292,28.7756,28.7756,130520
2007-01-25,27.3988,27.3988,27.3988,27.3988,70490
2007-01-26,26.1597,26.1597,26.1596,26.1596,335060
2007-01-29,26.1596,26.1596,26.1596,26.1596,181360
2007-01-30,27.3987,27.3988,27.3987,27.3988,38950
2007-01-31,28.6379,28.6379,28.6379,28.6379,136910
2007-02-01,30.0147,30.0147,29.6017,30.0147,520530
2007-02-02,30.0147,30.0147,30.0147,30.0147,229640
2007-02-05,28.6379,30.0147,28.6379,28.6379,22150
2007-02-06,28.9133,28.9133,28.6379,28.9133,60250
2007-02-07,27.6742,28.2249,27.6741,27.6741,76830
2007-02-08,27.5364,27.6741,27.5364,27.5365,47470
2007-02-09,27.5365,27.5365,26.8481,27.5365,68180
2007-02-12,28.9133,28.9133,28.9133,28.9133,64600
2007-02-13,28.9133,30.0148,28.9133,28.9133,42690
2007-02-14,29.6017,29.6017,28.9133,29.6017,88700
2007-02-15,30.2901,30.9785,30.2901,30.2901,134980
2007-02-26,31.8046,31.8046,31.8046,31.8046,90600
2007-02-27,33.3191,33.3191,33.3191,33.3191,166680
2007-02-28,31.6669,32.08,31.6669,31.6669,43190
2007-03-01,30.5654,31.6669,30.5654,30.5655,35460
2007-03-02,30.2901,32.08,30.2901,31.6669,88130
2007-03-05,31.5292,33.1814,31.5292,31.5292,67800
2007-03-06,30.8408,30.9785,30.4277,30.8408,21860
2007-03-07,30.2901,30.8408,30.2901,30.8408,21100
2007-03-08,30.8408,30.8408,30.8408,30.8408,44730
2007-03-09,32.3553,32.3553,31.3915,31.3916,85200
2007-03-12,30.8409,32.3554,30.8409,31.3916,141350
2007-03-13,29.8771,31.3916,29.8771,29.8771,137100
2007-03-14,28.5003,29.8771,28.5002,28.5002,56890
2007-03-15,27.1234,27.5365,27.1234,27.5365,70090
2007-03-16,28.9133,28.9133,28.9133,28.9133,52450
2007-03-19,30.2901,30.2901,28.6379,28.6379,64760
2007-03-20,30.0147,30.0147,28.6379,28.6379,58420
2007-03-21,29.1886,29.1886,28.7756,28.7756,35950
2007-03-22,28.9133,28.9133,28.6379,28.6379,51570
2007-03-23,28.9133,28.9133,28.6379,28.9133,82560
2007-03-26,28.9133,28.9133,28.9133,28.9133,68680
2007-03-27,28.9133,28.9133,27.9495,27.9495,31560
2007-03-28,26.5727,26.5727,26.5727,26.5727,56650
2007-03-29,27.2611,27.5365,27.2611,27.2611,44870
2007-03-30,28.2249,28.5002,27.5365,27.5365,43010
2007-04-02,28.638,28.638,27.8118,27.8118,17660
2007-04-03,27.2611,27.2611,26.848000000000003,27.1234,10140
2007-04-04,27.5364,28.3626,27.5364,28.3626,50280
2007-04-05,28.638,28.638,28.6379,28.6379,53340
2007-04-06,27.2611,28.2249,27.2611,28.2249,15630
2007-04-09,28.6379,28.6379,28.5003,28.6379,41890
2007-04-10,27.6741,28.9133,27.6741,28.9133,58950
2007-04-11,28.9133,28.9133,28.9133,28.9133,8370
2007-04-12,28.9133,28.9133,28.9133,28.9133,19970
2007-04-13,28.9133,28.9133,28.9133,28.9133,34520
2007-04-16,28.2249,28.9133,28.2249,28.9133,95450
2007-04-17,28.3626,28.3626,28.0872,28.0872,47850
2007-04-18,27.6742,28.0872,27.6742,28.0872,64320
2007-04-19,28.9133,28.9133,28.2249,28.2249,16150
2007-04-20,26.8481,27.5365,26.8481,27.5365,25330
2007-04-23,26.8481,26.8481,26.1596,26.1596,21320
2007-04-24,25.0581,25.0582,25.0581,25.0582,16140
2007-04-25,25.0582,26.2973,25.0582,26.2973,9810
2007-05-02,27.5364,27.5365,27.5364,27.5365,53130
2007-05-03,26.5727,26.9858,26.5727,26.848000000000003,34270
2007-05-04,26.848000000000003,26.848000000000003,26.2973,26.2973,45810
2007-05-07,26.2973,26.848000000000003,26.2973,26.7104,72080
2007-05-08,27.1234,27.2611,27.1234,27.2611,101420
2007-05-09,27.2611,27.5365,27.2611,27.5365,49880
2007-05-10,27.8119,28.638,27.8118,27.8118,53210
2007-05-11,27.8118,27.9495,27.8118,27.9495,57860
2007-05-14,28.5002,28.5002,27.8118,27.8118,43130
2007-05-15,28.5002,28.5002,28.0872,28.2249,60750
2007-05-16,28.2249,28.2249,28.0872,28.2249,65120
2007-05-17,28.2249,28.2249,28.2249,28.2249,28390
2007-05-18,28.2249,28.2249,28.0872,28.0872,48380
