Date,Open,High,Low,Close,Volume
2018-01-05,8.2751,8.2751,8.2751,8.2751,0
2018-01-08,8.2751,8.2751,8.2751,8.2751,0
2018-01-09,8.2751,8.2751,8.2751,8.2751,0
2018-01-10,8.2751,8.2751,8.2751,8.2751,0
2018-01-11,8.2751,8.2751,8.2751,8.2751,0
2018-01-12,8.2751,8.2751,8.2751,8.2751,0
2018-01-15,8.2751,8.2751,8.2751,8.2751,0
2018-01-16,8.2751,8.2751,8.2751,8.2751,0
2018-01-17,8.2751,8.2751,8.2751,8.2751,0
2018-01-18,8.2751,8.2751,8.2751,8.2751,0
2018-01-19,8.2751,8.2751,8.2751,8.2751,0
2018-01-22,8.2751,8.2751,8.2751,8.2751,0
2018-01-23,8.2751,8.2751,8.2751,8.2751,0
2018-01-24,8.2751,8.2751,8.2751,8.2751,0
2018-01-25,8.2751,8.2751,8.2751,8.2751,0
2018-01-26,8.2751,8.2751,8.2751,8.2751,0
2018-01-29,8.2751,8.2751,8.2751,8.2751,0
2018-01-30,8.2751,8.2751,8.2751,8.2751,0
2018-01-31,8.2751,8.2751,8.2751,8.2751,0
2018-02-01,8.2751,8.2751,8.2751,8.2751,0
2018-02-02,8.2751,8.2751,8.2751,8.2751,0
2018-02-05,8.2751,8.2751,8.2751,8.2751,0
2018-02-06,8.2751,8.2751,8.2751,8.2751,0
2018-02-07,8.2751,8.2751,8.2751,8.2751,0
2018-02-08,8.2751,8.2751,8.2751,8.2751,0
2018-02-09,8.2751,8.2751,8.2751,8.2751,0
2018-02-12,8.2751,8.2751,8.2751,8.2751,0
2018-02-13,8.2751,8.2751,8.2751,8.2751,0
2018-02-21,8.2751,8.2751,8.2751,8.2751,0
2018-02-22,8.2751,8.2751,8.2751,8.2751,0
2018-02-23,8.2751,8.2751,8.2751,8.2751,0
2018-02-26,8.2751,8.2751,8.2751,8.2751,0
2018-02-27,8.2751,8.2751,8.2751,8.2751,0
2018-02-28,8.2751,8.2751,8.2751,8.2751,0
2018-03-01,8.2751,8.2751,8.2751,8.2751,0
2018-03-02,8.2751,8.2751,8.2751,8.2751,0
2018-03-05,8.2751,8.2751,8.2751,8.2751,0
2018-03-06,8.2751,8.2751,8.2751,8.2751,0
2018-03-07,8.2751,8.2751,8.2751,8.2751,0
2018-03-08,8.2751,8.2751,8.2751,8.2751,0
2018-03-09,8.2751,8.2751,8.2751,8.2751,0
2018-03-12,8.2751,8.2751,8.2751,8.2751,0
2018-03-13,8.2751,8.2751,8.2751,8.2751,0
2018-03-14,8.2751,8.2751,8.2751,8.2751,0
2018-03-15,8.2751,8.2751,8.2751,8.2751,0
2018-03-16,8.2751,8.2751,8.2751,8.2751,0
2018-03-19,8.2751,8.2751,8.2751,8.2751,0
2018-03-20,8.2751,8.2751,8.2751,8.2751,0
2018-03-21,8.2751,8.2751,8.2751,8.2751,0
2018-03-22,8.2751,8.2751,8.2751,8.2751,0
2018-03-23,8.2751,8.2751,8.2751,8.2751,0
2018-03-26,8.2751,8.2751,8.2751,8.2751,0
2018-03-27,8.2751,8.2751,8.2751,8.2751,0
2018-03-28,8.2751,8.2751,8.2751,8.2751,0
2018-03-29,8.2751,8.2751,8.2751,8.2751,0
2018-03-30,8.2751,8.2751,8.2751,8.2751,0
2018-04-02,8.2751,8.2751,8.2751,8.2751,0
2018-04-03,8.2751,8.2751,8.2751,8.2751,0
2018-04-04,8.2751,8.2751,8.2751,8.2751,0
2018-04-05,8.2751,8.2751,8.2751,8.2751,0
2018-04-06,8.2751,8.2751,8.2751,8.2751,0
2018-04-09,8.2751,8.2751,8.2751,8.2751,0
2018-04-10,8.2751,8.2751,8.2751,8.2751,0
2018-04-11,8.2751,8.2751,8.2751,8.2751,0
2018-04-12,8.2751,8.2751,8.2751,8.2751,0
2018-04-13,8.2751,8.2751,8.2751,8.2751,0
2018-04-16,8.2751,8.2751,8.2751,8.2751,0
2018-04-17,8.2751,8.2751,8.2751,8.2751,0
2018-04-18,8.2751,8.2751,8.2751,8.2751,0
2018-04-19,8.2751,8.2751,8.2751,8.2751,0
2018-04-20,8.2751,8.2751,8.2751,8.2751,0
2018-04-23,8.2751,8.2751,8.2751,8.2751,0
2018-04-24,8.2751,8.2751,8.2751,8.2751,0
2018-04-26,8.2751,8.2751,8.2751,8.2751,0
2018-04-27,8.2751,8.2751,8.2751,8.2751,0
2018-05-02,8.2751,8.2751,8.2751,8.2751,0
2018-05-03,8.2751,8.2751,8.2751,8.2751,0
2018-05-04,8.2751,8.2751,8.2751,8.2751,0
2018-05-07,8.2751,8.2751,8.2751,8.2751,0
2018-05-08,8.2751,8.2751,8.2751,8.2751,0
2018-05-09,8.2751,8.2751,8.2751,8.2751,0
2018-05-10,8.2751,8.2751,8.2751,8.2751,0
2018-05-11,8.2751,8.2751,8.2751,8.2751,0
2018-05-14,8.2751,8.2751,8.2751,8.2751,0
2018-05-15,8.2751,8.2751,8.2751,8.2751,0
2018-05-16,8.2751,8.2751,8.2751,8.2751,0
2018-05-17,8.2751,8.2751,8.2751,8.2751,0
2018-05-18,8.2751,8.2751,8.2751,8.2751,0
2018-05-21,8.2751,8.2751,8.2751,8.2751,0
2018-05-22,8.2751,8.2751,8.2751,8.2751,0
2018-05-23,8.2751,8.2751,8.2751,8.2751,0
2018-05-24,8.2751,8.2751,8.2751,8.2751,0
2018-05-25,8.2751,8.2751,8.2751,8.2751,0
2018-05-28,8.2751,8.2751,8.2751,8.2751,0
2018-05-29,8.2751,8.2751,8.2751,8.2751,0
2018-05-30,8.2751,8.2751,8.2751,8.2751,0
2018-05-31,8.2751,8.2751,8.2751,8.2751,0
2018-06-01,8.2751,8.2751,8.2751,8.2751,0
2018-06-04,8.2751,8.2751,8.2751,8.2751,0
2018-06-05,8.2751,8.2751,8.2751,8.2751,0
2018-06-06,8.2751,8.2751,8.2751,8.2751,0
2018-06-07,8.2751,8.2751,8.2751,8.2751,0
2018-06-08,8.2751,8.2751,8.2751,8.2751,0
2018-06-11,8.2751,8.2751,8.2751,8.2751,0
2018-06-12,8.2751,8.2751,8.2751,8.2751,0
2018-06-13,8.2751,8.2751,8.2751,8.2751,0
2018-06-14,8.2751,8.2751,8.2751,8.2751,0
2018-06-15,8.2751,8.2751,8.2751,8.2751,0
2018-06-18,8.2751,8.2751,8.2751,8.2751,0
2018-06-19,8.2751,8.2751,8.2751,8.2751,0
2018-06-20,8.2751,8.2751,8.2751,8.2751,0
2018-06-21,8.2751,8.2751,8.2751,8.2751,0
2018-06-22,8.2751,8.2751,8.2751,8.2751,0
2018-06-25,8.2751,8.2751,8.2751,8.2751,0
2018-06-26,8.2751,8.2751,8.2751,8.2751,0
2018-06-27,8.2751,8.2751,8.2751,8.2751,0
2018-06-28,8.2751,8.2751,8.2751,8.2751,0
2018-06-29,8.2751,8.2751,8.2751,8.2751,0
2018-07-02,8.2751,8.2751,8.2751,8.2751,0
