Date,Open,High,Low,Close,Volume
2009-06-30,21.1481,21.1481,21.1481,21.1481,294070
2009-07-01,22.2055,22.2055,20.9719,21.3243,6248390
2009-07-02,20.9718,21.1481,20.2669,20.4431,1515670
2009-07-03,19.9144,20.0906,19.7382,19.7382,899720
2009-07-06,19.7382,20.6194,19.7382,20.6194,1571740
2009-07-07,20.2669,20.4432,19.9144,19.9144,1115420
2009-07-08,19.3857,19.7382,19.2095,19.562,763030
2009-07-09,19.2095,19.7382,18.8571,19.0333,982430
2009-07-10,18.6808,18.8571,18.1521,18.1521,1973450
2009-07-13,17.6234,18.1521,17.2709,17.2709,812260
2009-07-14,17.3414,17.3414,16.7422,16.848,847840
2009-07-15,16.9185,17.5529,16.9185,17.2709,807250
2009-07-16,17.6234,17.6234,17.4119,17.5529,638990
2009-07-17,17.4472,17.5177,17.2004,17.3062,311000
2009-07-20,16.6013,16.6718,16.4603,16.4955,869220
2009-07-21,16.6365,16.8127,16.4955,16.5307,483900
2009-07-22,16.7422,16.7774,16.6364,16.7422,411780
2009-07-23,16.566,17.5529,16.566,17.5529,929090
2009-07-24,18.3283,18.3283,18.3283,18.3283,624760
2009-07-27,19.2095,19.2095,18.5045,19.2095,1535460
2009-07-28,19.2095,19.7382,18.5046,18.6808,1192800
2009-07-29,18.857,19.0333,18.1521,18.5046,924570
2009-07-30,18.3284,18.5046,17.7997,18.1521,606660
2009-07-31,18.857,19.0333,18.6808,19.0333,1125450
2009-08-03,19.9145,19.9145,19.3858,19.9144,2707260
2009-08-04,20.7956,20.7956,20.0906,20.6194,1869220
2009-08-05,20.4432,20.7956,20.0907,20.4431,1654270
2009-08-06,20.4431,20.7956,19.9144,20.0907,1656340
2009-08-07,19.9145,20.2669,19.9144,19.9144,1017420
2009-08-10,20.0906,20.4431,19.9144,20.2669,689300
2009-08-11,20.0907,20.4431,19.9144,20.0907,1207840
2009-08-12,20.2669,20.2669,19.9144,19.9144,996150
2009-08-13,20.2669,20.2669,19.9144,20.0907,896790
2009-08-14,19.9145,20.2669,19.9145,20.0907,709790
